TRACTCE,COUNTYFP,BLKGRPCE,NatWalkInd,Prop_land_unprotected,D4B025,D4A,D2B_E5MIXA,D2A_JPHH,D1D,D1C5_ENT,D1B,E_PctLowWage,Prop_over3kmonth,R_PCTLOWWAGE,P_WrkAge
8600,81,1,16.83333333,1.0,0.696644747,297.73,0.644458558,1.529279279,23.72221503,1.63319897,31.25534528,0.151693667,0.25146962769431747,0.197164948,0.709
7700,81,1,16.83333333,1.0,0.0,300.41,0.857998857,0.847945205,46.51586967,1.565437922,57.44198741,0.201938611,0.3759733036707453,0.161434978,0.793
8100,81,1,13.83333333,0.9848797364005294,0.0,346.01,0.143314532,1.62358643,63.87674788,0.439015449,50.96237674,0.076616915,0.3955491744436468,0.164746544,0.779
8300,81,2,17.66666667,1.0,0.0,87.17,0.71254066,0.678407351,39.64238096,0.123304451,56.87417798,0.130925508,0.27479674796747966,0.1937751,0.701
8700,81,2,14.0,0.8916115361273553,0.0,199.83,0.364626715,4.336426914,112.9256308,0.0,39.07014889,0.269127876,0.17452830188679244,0.261083744,0.587
8800,81,1,14.16666667,0.9996033250705482,0.507798752,124.72,0.777304337,0.084459459,9.948158715,0.014586743,30.93848187,0.34,0.19471947194719472,0.198979592,0.603
8800,81,2,14.5,0.8948211726046116,0.0,193.12,0.621182315,0.30033557,21.66481541,1.111016175,45.60456871,0.474860335,0.21983758700696054,0.183923706,0.65
9100,81,1,12.0,0.804611275985631,0.0,478.78,0.563367611,0.087458746,34.19732617,0.089404774,48.23387574,0.264150943,0.31510658016682114,0.168453292,0.717
23800,81,3,12.16666667,1.0,0.999325085,282.98,0.442329919,0.038567493,92.75982234,0.594614246,228.2129475,0.107142857,0.16310578426263678,0.210645527,0.665
16300,81,3,12.66666667,1.0,0.930047487,164.96,0.0,0.45047619,63.71386895,0.0,80.40179902,0.065539112,0.20503778337531486,0.238232469,0.594
